"No","Player Name","School Name","Gm","Avg","E","Top 1","Top 5","Top 10","Top 25","Field Avg","Avg Diff"
"75","Lydia Flanagan","Trine University","45","187.622","11","1","2","2","6","168.806","18.816"
"76","Kaylee Hauck","Muskingum University","59","187.458","11","1","4","5","9","164.328","23.13"
"77","Madison Davis","Tennessee Wesleyan University","58","187.207","11","0","1","1","3","171.304","15.903"
"78","Katrina Kendle","Coe College","49","187.061","10","0","2","6","7","166.362","20.7"
"79","Sarah Chilvers","Lourdes University","50","187.04","11","0","1","4","8","169.172","17.868"
"79","Aliyah Alleyne","Webber International University","50","187.04","11","0","1","2","4","171.652","15.388"
"81","Megan Timm","Trine University","49","187.02","11","0","2","3","5","169.127","17.893"
"82","Allison Robbins","Milligan University","43","186.86","10","0","1","2","4","171.409","15.452"
"83","Paige Carpenter","Judson University","46","186.739","9","0","1","3","3","166.347","20.393"
"84","Victoria Hines","Pikeville ,University Of","44","186.727","12","0","0","2","2","170.799","15.929"
"85","Monica Darrow","Saint Xavier University","57","186.719","10","0","0","2","5","169.155","17.564"
"86","Kiaralyn Backstrom","Ottawa University (KS)","42","186.524","10","0","2","2","3","166.477","20.047"
"87","Gabriella Hernandez","Ottawa University (KS)","62","186.516","11","2","2","3","6","165.971","20.545"
"88","Jadyn Barr","Ottawa University (KS)","55","186.327","11","0","1","4","5","166.316","20.012"
"89","Erica Lohr","Lewis University","41","186.317","9","0","1","2","5","177.54","8.777"
"90","Mackenzie Ullian","Mount Mercy University","42","186.31","10","0","1","2","5","166.616","19.693"
"91","Hailey Triske","William Woods University","58","185.724","10","0","1","1","5","169.598","16.126"
"92","Erin Williams","St. Ambrose University","52","185.712","10","0","2","2","5","167.205","18.507"
"93","Marissa Bills","St. Ambrose University","48","185.542","10","0","0","2","4","167.692","17.85"
"94","Brenna Schiekiera","Marian University (WI)","42","185.476","8","2","3","4","4","172.267","13.21"
"95","Miranda Cain","Kentucky Wesleyan","47","185.468","9","1","1","2","5","172.393","13.075"
"96","Emily Newbauer","Viterbo University","40","185.45","8","2","5","5","7","160.779","24.671"
"97","Madison Davenport","Rock Valley College","58","185.362","11","1","1","2","5","167.765","17.597"
"98","Abigail Justice","St. Vincent College","45","185.311","9","1","2","3","5","163.554","21.757"
"99","Trista Rauma","William Woods University","58","185.31","10","0","0","1","5","169.598","15.712"
"100","Alyssa Campbell","Cumberland University","41","185.171","9","0","2","2","4","167.896","17.274"
"101","Samantha Smith","Lindenwood University","42","185.048","10","0","2","2","5","170.206","14.842"
"102","Jocelynn Eggert","Marian University (WI)","51","184.902","10","1","3","3","4","170.491","14.411"
"103","Sydney Dickson","Rio Grande ,University Of","64","184.875","12","1","3","5","10","163.594","21.281"
"104","Katherine Newman","Trine University","40","184.85","10","0","1","3","4","169.223","15.627"
"105","Taylor Mcbride","Lourdes University","45","184.844","11","0","2","2","5","170.339","14.506"
"106","Makenzie Gossett","Wright State University","45","184.8","10","0","1","3","7","166.318","18.482"
"107","Barbara Lunsford","Saint Xavier University","45","184.733","9","0","1","1","2","168.362","16.371"
"108","Sammantha Meyers","William Penn University","47","184.553","10","0","0","1","1","168.841","15.712"
"109","Brooklinn Chavez","Calumet College Of St. Joseph","41","184.463","9","0","0","0","1","168.783","15.68"
"110","Omani Morales","Davenport University","40","184.425","8","0","1","2","2","167.625","16.8"
"111","Skyy Nicholls","St. Vincent College","42","184.357","9","1","2","3","4","163.35","21.007"
"112","Holly Bridges","Ottawa University (KS)","62","184.274","11","2","3","5","7","165.961","18.313"
"113","Jordan Downham","Indiana Institute Of Technology","51","184.176","12","0","1","2","4","170.837","13.34"
"114","Allie Williams","Ottawa University (KS)","63","183.81","11","0","2","2","7","166.201","17.609"
"115","Jacqueline Oliphant","University of the Cumberlands","40","183.75","8","0","0","2","5","169.582","14.168"
"116","Maegan Coleman","Midway University","70","183.557","13","0","2","4","8","168.847","14.71"
"117","Olivia Johnson","Notre Dame College","46","183.087","10","0","0","1","3","167.214","15.873"
"118","Erika Taylor","University of the Cumberlands","44","183","10","0","0","1","2","170.222","12.778"
"119","Laila Lupercio","Madonna University","43","182.953","11","0","0","2","5","168.822","14.131"
"120","Lida Burgos","Saint Xavier University","41","182.951","10","0","0","0","2","168.631","14.32"
"121","Morgan Schoon","Calumet College Of St. Joseph","47","182.617","9","0","0","0","3","167.984","14.633"
"122","Marissa Ruiz","Hastings College","54","182.556","10","0","3","4","6","165.174","17.381"
"123","Sara Ritchie","Rochester University","55","182.545","12","0","3","5","5","170.256","12.289"
"124","Tayler Clark","Muskingum University","56","182.482","11","0","3","5","5","164.661","17.821"
"125","Rachel Iha","Lawrence Technological University","47","182.298","13","0","2","2","4","168.975","13.323"
"126","Savanah Rodriguez","Calumet College Of St. Joseph","40","182.275","9","0","1","1","2","167.645","14.63"
"126","Baylie Navarro","Bethel University (IN)","40","182.275","9","1","4","7","7","161.566","20.709"
"128","Kelsey Wilson","Muskingum University","60","182.25","11","0","2","7","8","164.449","17.801"
"129","Rebecca Howard","Wisc.-Whitewater","41","182.22","8","0","0","1","3","182.861","-0.641"
"130","Jillian Treska","Indiana Institute Of Technology","50","182.02","12","0","2","3","4","170.393","11.627"
"131","Alexa Tieto","McKendree University","44","181.75","9","0","1","1","2","178.514","3.236"
"132","Izzy Fletcher","William Woods University","50","181.7","10","0","1","1","1","169.943","11.757"
"133","Madison Ross","William Penn University","44","181.636","10","0","0","0","3","169.392","12.245"
"134","Jessica Ludwick","Michigan-Dearborn","44","181.455","10","0","2","4","7","164.969","16.486"
"135","Chloe Long","Shawnee State University","41","181.415","9","0","0","2","8","159.884","21.531"
"136","Brooklyn Suzuki","Huntington University","48","181.208","12","1","2","4","6","163.967","17.241"
"137","Hannah Rearick","Shawnee State University","47","181.17","10","0","0","2","8","162.303","18.868"
"138","Emily Spicuzza","Purdue University","52","181.154","9","0","1","1","5","165.95","15.204"
"139","Alli Shattuck","Wright State University","40","181.15","10","0","0","0","4","164.734","16.416"
"140","Morgan Smith","Alma College","66","181.106","14","2","2","4","9","165.468","15.638"
"141","Leeah Wade","Bethel University (IN)","40","180.625","9","0","1","5","8","161.566","19.059"
"142","Hailee Hale","Cleary University","51","180.49","12","0","1","3","7","168.322","12.168"
"143","Carolina Alvarado Delgado","Lewis University","41","180.488","9","0","1","1","3","175.269","5.219"
"144","Abigail Arnes","Lourdes University","41","180.415","10","0","1","3","4","168.753","11.662"
"145","Samantha Dulz","Cleary University","50","180.36","12","0","0","0","7","168.469","11.891"
"146","Emily Pepper","Spring Arbor University","49","180.143","13","1","2","4","6","161.904","18.238"
"147","Holly Santucci","Viterbo University","46","180.065","9","1","3","6","9","158.496","21.569"
"148","Taylor Petrey","Midway University","64","179.781","13","0","0","1","7","168.933","10.848"
"149","Kayla Devine","St. Ambrose University","41","179.439","9","0","0","2","4","167.942","11.497"
"150","Carissa Johnson","Morningside University","53","179.396","9","0","1","2","4","165.979","13.417"
"151","Madison Henderson","Hastings College","56","179.339","10","1","2","3","5","165.97","13.369"
"152","Jacklyn Koehler","St. Vincent College","41","179.22","9","0","0","2","5","163.733","15.487"
"153","Taylor Edgerton","Savannah College Of Art And Design-Atlanta","40","179.15","9","0","1","1","3","170.359","8.791"
"154","Kyley Olson","Rock Valley College","58","179.069","11","0","0","2","3","167.765","11.304"
"155","Kyleigh Husted","Tennessee Wesleyan University","47","179.064","9","0","0","0","2","171.227","7.837"
"155","Alysa Conley","Kentucky Wesleyan","47","179.064","9","0","0","1","2","172.163","6.901"
"157","Sabine Strickland","St. Vincent College","43","178.884","9","0","1","2","4","163.237","15.647"
"158","Macie Hadley","Marian University (IN)","51","178.882","11","0","0","3","5","165.72","13.163"
"159","Piper Plautz","Calumet College Of St. Joseph","50","178.86","9","0","0","0","3","168.638","10.222"
"160","Lilly Pryor","Huntington University","45","178.667","11","0","1","1","7","165.269","13.398"
"161","Estrella De La Rosa","St. Francis (IL) ,University Of","44","178.591","11","0","0","0","1","171.605","6.986"
"162","Jasmine Saunders","Culver-Stockton College","55","178.473","10","0","0","1","4","167.5","10.973"
"163","Isabel Tetmeyer","Grand View University","54","178.426","10","0","1","2","3","167.251","11.175"
"164","Carly Snyder","Davenport University","48","178.354","10","0","1","2","5","167.848","10.506"
"165","Kaytlyn Andrews","Grand View University","52","178.231","10","0","0","2","4","167.265","10.966"
"166","Alexandra Drsek","Wright State University","42","178","10","0","2","2","4","167.847","10.153"
